"","V1"
"_MartinvanBuren_1_112",7
"_MartinvanBuren_1_113",5
"_MartinvanBuren_1_114",14
"_MartinvanBuren_1_115",10
"_MartinvanBuren_1_116",5
"_MartinvanBuren_1_117",10
"_MartinvanBuren_1_118",14
"_MartinvanBuren_1_119",10
"_MartinvanBuren_1_120",14
"_MartinvanBuren_1_121",14
"_MartinvanBuren_1_122",14
"_MartinvanBuren_1_123",14
"_MartinvanBuren_1_124",14
"_MartinvanBuren_1_125",5
"_MartinvanBuren_1_126",5
"_MartinvanBuren_1_127",5
"_MartinvanBuren_1_128",5
"_MartinvanBuren_1_129",5
"_MartinvanBuren_1_130",5
"_MartinvanBuren_1_131",5
"_MartinvanBuren_1_132",5
"_WilliamHenryHarrison_1_2",5
"_WilliamHenryHarrison_1_3",5
"_WilliamHenryHarrison_1_4",6
"_WilliamHenryHarrison_1_5",8
"_WilliamHenryHarrison_1_6",5
"_WilliamHenryHarrison_1_7",5
"_WilliamHenryHarrison_1_8",5
"_WilliamHenryHarrison_1_9",5
"_WilliamHenryHarrison_1_10",5
"_WilliamHenryHarrison_1_11",6
"_WilliamHenryHarrison_1_12",7
"_WilliamHenryHarrison_1_13",7
"_WilliamHenryHarrison_1_14",7
"_WilliamHenryHarrison_1_15",7
"_WilliamHenryHarrison_1_16",7
"_WilliamHenryHarrison_1_17",7
"_WilliamHenryHarrison_1_18",7
"_WilliamHenryHarrison_1_19",7
"_WilliamHenryHarrison_1_20",7
"_WilliamHenryHarrison_1_21",15
"_WilliamHenryHarrison_1_22",15
"_WilliamHenryHarrison_1_23",15
"_WilliamHenryHarrison_1_24",7
"_WilliamHenryHarrison_1_25",15
"_WilliamHenryHarrison_1_26",7
"_WilliamHenryHarrison_1_27",7
"_WilliamHenryHarrison_1_28",7
"_WilliamHenryHarrison_1_29",10
"_WilliamHenryHarrison_1_30",10
"_WilliamHenryHarrison_1_31",10
"_WilliamHenryHarrison_1_32",2
"_WilliamHenryHarrison_1_33",2
"_WilliamHenryHarrison_1_34",7
"_WilliamHenryHarrison_1_35",7
"_WilliamHenryHarrison_1_36",7
"_WilliamHenryHarrison_1_37",7
"_WilliamHenryHarrison_1_38",7
"_WilliamHenryHarrison_1_39",7
"_WilliamHenryHarrison_1_40",15
"_WilliamHenryHarrison_1_41",10
"_WilliamHenryHarrison_1_42",10
"_WilliamHenryHarrison_1_43",10
"_WilliamHenryHarrison_1_44",2
"_WilliamHenryHarrison_1_45",2
"_WilliamHenryHarrison_1_46",2
"_WilliamHenryHarrison_1_47",2
"_WilliamHenryHarrison_1_48",5
"_WilliamHenryHarrison_1_49",6
"_WilliamHenryHarrison_1_50",6
"_WilliamHenryHarrison_1_51",6
"_WilliamHenryHarrison_1_52",5
"_WilliamHenryHarrison_1_53",5
"_WilliamHenryHarrison_1_54",7
"_WilliamHenryHarrison_1_55",10
"_WilliamHenryHarrison_1_56",10
"_WilliamHenryHarrison_1_57",10
"_WilliamHenryHarrison_1_58",10
"_WilliamHenryHarrison_1_59",10
"_WilliamHenryHarrison_1_60",10
"_WilliamHenryHarrison_1_61",10
"_WilliamHenryHarrison_1_62",10
"_WilliamHenryHarrison_1_63",10
"_WilliamHenryHarrison_1_64",10
"_WilliamHenryHarrison_1_65",10
"_WilliamHenryHarrison_1_66",10
"_WilliamHenryHarrison_1_67",2
"_WilliamHenryHarrison_1_68",2
"_WilliamHenryHarrison_1_69",2
"_WilliamHenryHarrison_1_70",10
"_WilliamHenryHarrison_1_71",10
"_WilliamHenryHarrison_1_72",6
"_WilliamHenryHarrison_1_73",10
"_WilliamHenryHarrison_1_74",10
"_WilliamHenryHarrison_1_75",10
"_WilliamHenryHarrison_1_76",10
"_WilliamHenryHarrison_1_77",2
"_WilliamHenryHarrison_1_78",2
"_WilliamHenryHarrison_1_79",2
"_WilliamHenryHarrison_1_80",2
"_WilliamHenryHarrison_1_81",7
"_WilliamHenryHarrison_1_82",10
"_WilliamHenryHarrison_1_83",10
"_WilliamHenryHarrison_1_84",10
"_WilliamHenryHarrison_1_85",10
"_WilliamHenryHarrison_1_86",10
"_WilliamHenryHarrison_1_87",10
"_WilliamHenryHarrison_1_88",7
"_WilliamHenryHarrison_1_89",2
"_WilliamHenryHarrison_1_90",2
"_WilliamHenryHarrison_1_91",2
"_WilliamHenryHarrison_1_92",7
"_WilliamHenryHarrison_1_93",7
"_WilliamHenryHarrison_1_94",7
"_WilliamHenryHarrison_1_95",2
"_WilliamHenryHarrison_1_96",2
"_WilliamHenryHarrison_1_97",2
"_WilliamHenryHarrison_1_98",7
"_WilliamHenryHarrison_1_99",7
"_WilliamHenryHarrison_1_100",7
"_WilliamHenryHarrison_1_101",10
"_WilliamHenryHarrison_1_102",2
"_WilliamHenryHarrison_1_103",10
"_WilliamHenryHarrison_1_104",10
"_WilliamHenryHarrison_1_105",10
"_WilliamHenryHarrison_1_106",7
"_WilliamHenryHarrison_1_107",2
"_WilliamHenryHarrison_1_108",2
"_WilliamHenryHarrison_1_109",2
"_WilliamHenryHarrison_1_110",12
"_WilliamHenryHarrison_1_111",10
"_WilliamHenryHarrison_1_112",10
"_WilliamHenryHarrison_1_113",2
"_WilliamHenryHarrison_1_114",10
"_WilliamHenryHarrison_1_115",10
"_WilliamHenryHarrison_1_116",10
"_WilliamHenryHarrison_1_117",10
"_WilliamHenryHarrison_1_118",10
"_WilliamHenryHarrison_1_119",10
"_WilliamHenryHarrison_1_120",5
"_WilliamHenryHarrison_1_121",4
"_WilliamHenryHarrison_1_122",15
"_WilliamHenryHarrison_1_123",10
"_WilliamHenryHarrison_1_124",10
"_WilliamHenryHarrison_1_125",10
"_WilliamHenryHarrison_1_126",10
"_WilliamHenryHarrison_1_127",2
"_WilliamHenryHarrison_1_128",2
"_WilliamHenryHarrison_1_129",10
"_WilliamHenryHarrison_1_130",10
"_WilliamHenryHarrison_1_131",10
"_WilliamHenryHarrison_1_132",10
"_WilliamHenryHarrison_1_133",10
"_WilliamHenryHarrison_1_134",12
"_WilliamHenryHarrison_1_135",13
"_WilliamHenryHarrison_1_136",12
"_WilliamHenryHarrison_1_137",12
"_WilliamHenryHarrison_1_138",4
"_WilliamHenryHarrison_1_139",4
"_WilliamHenryHarrison_1_140",2
"_WilliamHenryHarrison_1_141",5
"_WilliamHenryHarrison_1_142",2
"_WilliamHenryHarrison_1_143",2
"_WilliamHenryHarrison_1_144",5
"_WilliamHenryHarrison_1_145",13
"_WilliamHenryHarrison_1_146",10
"_WilliamHenryHarrison_1_147",9
"_WilliamHenryHarrison_1_148",10
"_WilliamHenryHarrison_1_149",10
"_WilliamHenryHarrison_1_150",10
"_WilliamHenryHarrison_1_151",7
"_WilliamHenryHarrison_1_152",7
"_WilliamHenryHarrison_1_153",10
"_WilliamHenryHarrison_1_154",10
"_WilliamHenryHarrison_1_155",7
"_WilliamHenryHarrison_1_156",2
"_WilliamHenryHarrison_1_157",7
"_WilliamHenryHarrison_1_158",15
"_WilliamHenryHarrison_1_159",15
"_WilliamHenryHarrison_1_160",15
"_WilliamHenryHarrison_1_161",7
"_WilliamHenryHarrison_1_162",2
"_WilliamHenryHarrison_1_163",7
"_WilliamHenryHarrison_1_164",7
"_WilliamHenryHarrison_1_165",7
"_WilliamHenryHarrison_1_166",7
"_WilliamHenryHarrison_1_167",2
"_WilliamHenryHarrison_1_168",2
"_WilliamHenryHarrison_1_169",2
"_WilliamHenryHarrison_1_170",2
"_WilliamHenryHarrison_1_171",7
"_WilliamHenryHarrison_1_172",13
"_WilliamHenryHarrison_1_173",2
"_WilliamHenryHarrison_1_174",2
"_WilliamHenryHarrison_1_175",7
"_WilliamHenryHarrison_1_176",7
"_WilliamHenryHarrison_1_177",7
"_WilliamHenryHarrison_1_178",2
"_WilliamHenryHarrison_1_179",2
"_WilliamHenryHarrison_1_180",2
"_WilliamHenryHarrison_1_181",12
"_WilliamHenryHarrison_1_182",12
"_WilliamHenryHarrison_1_183",12
"_WilliamHenryHarrison_1_184",7
"_WilliamHenryHarrison_1_185",13
"_WilliamHenryHarrison_1_186",2
"_WilliamHenryHarrison_1_187",6
"_WilliamHenryHarrison_1_188",6
"_WilliamHenryHarrison_1_189",6
"_WilliamHenryHarrison_1_190",6
"_WilliamHenryHarrison_1_191",2
"_WilliamHenryHarrison_1_192",2
"_WilliamHenryHarrison_1_193",2
"_WilliamHenryHarrison_1_194",6
"_WilliamHenryHarrison_1_195",6
"_WilliamHenryHarrison_1_196",6
"_WilliamHenryHarrison_1_197",6
"_WilliamHenryHarrison_1_198",6
"_WilliamHenryHarrison_1_199",6
"_WilliamHenryHarrison_1_200",6
"_WilliamHenryHarrison_1_201",6
"_WilliamHenryHarrison_1_202",6
"_WilliamHenryHarrison_1_203",6
"_WilliamHenryHarrison_1_204",6
"_WilliamHenryHarrison_1_205",2
"_WilliamHenryHarrison_1_206",13
"_WilliamHenryHarrison_1_207",14
"_WilliamHenryHarrison_1_208",13
"_WilliamHenryHarrison_1_209",14
"_WilliamHenryHarrison_1_210",5
"_WilliamHenryHarrison_1_211",2
"_WilliamHenryHarrison_1_212",2
"_WilliamHenryHarrison_1_213",6
"_WilliamHenryHarrison_1_214",6
"_WilliamHenryHarrison_1_215",6
"_WilliamHenryHarrison_1_216",6
"_WilliamHenryHarrison_1_217",6
"_WilliamHenryHarrison_1_218",6
"_WilliamHenryHarrison_1_219",6
"_WilliamHenryHarrison_1_220",2
"_WilliamHenryHarrison_1_221",2
"_WilliamHenryHarrison_1_222",2
"_WilliamHenryHarrison_1_223",5
"_WilliamHenryHarrison_1_224",2
"_WilliamHenryHarrison_1_225",2
"_WilliamHenryHarrison_1_226",11
"_WilliamHenryHarrison_1_227",11
"_WilliamHenryHarrison_1_228",7
"_WilliamHenryHarrison_1_229",5
"_WilliamHenryHarrison_1_230",5
"_WilliamHenryHarrison_1_231",5
"_WilliamHenryHarrison_1_232",5
"_WilliamHenryHarrison_1_233",5
"_WilliamHenryHarrison_1_234",5
"_JamesKPolk_1_2",5
"_JamesKPolk_1_3",5
"_JamesKPolk_1_4",5
"_JamesKPolk_1_5",5
"_JamesKPolk_1_6",5
"_JamesKPolk_1_7",5
"_JamesKPolk_1_8",5
"_JamesKPolk_1_9",7
"_JamesKPolk_1_10",7
"_JamesKPolk_1_11",7
"_JamesKPolk_1_12",7
"_JamesKPolk_1_13",7
"_JamesKPolk_1_14",7
"_JamesKPolk_1_15",7
"_JamesKPolk_1_16",7
"_JamesKPolk_1_17",7
"_JamesKPolk_1_18",7
"_JamesKPolk_1_19",7
"_JamesKPolk_1_20",7
"_JamesKPolk_1_21",7
"_JamesKPolk_1_22",13
"_JamesKPolk_1_23",13
"_JamesKPolk_1_24",13
"_JamesKPolk_1_25",13
"_JamesKPolk_1_26",7
"_JamesKPolk_1_27",13
"_JamesKPolk_1_28",7
"_JamesKPolk_1_29",7
"_JamesKPolk_1_30",7
"_JamesKPolk_1_31",10
"_JamesKPolk_1_32",10
"_JamesKPolk_1_33",10
"_JamesKPolk_1_34",10
"_JamesKPolk_1_35",10
"_JamesKPolk_1_36",10
"_JamesKPolk_1_37",10
"_JamesKPolk_1_38",7
"_JamesKPolk_1_39",7
"_JamesKPolk_1_40",7
"_JamesKPolk_1_41",7
"_JamesKPolk_1_42",7
"_JamesKPolk_1_43",8
"_JamesKPolk_1_44",13
"_JamesKPolk_1_45",13
"_JamesKPolk_1_46",13
"_JamesKPolk_1_47",1
"_JamesKPolk_1_48",13
"_JamesKPolk_1_49",13
"_JamesKPolk_1_50",7
"_JamesKPolk_1_51",13
"_JamesKPolk_1_52",7
"_JamesKPolk_1_53",7
"_JamesKPolk_1_54",7
"_JamesKPolk_1_55",6
"_JamesKPolk_1_56",7
"_JamesKPolk_1_57",1
"_JamesKPolk_1_58",1
"_JamesKPolk_1_59",1
"_JamesKPolk_1_60",1
"_JamesKPolk_1_61",2
"_JamesKPolk_1_62",14
"_JamesKPolk_1_63",2
"_JamesKPolk_1_64",7
"_JamesKPolk_1_65",2
"_JamesKPolk_1_66",2
"_JamesKPolk_1_67",2
"_JamesKPolk_1_68",2
"_JamesKPolk_1_69",2
"_JamesKPolk_1_70",13
"_JamesKPolk_1_71",7
"_JamesKPolk_1_72",2
"_JamesKPolk_1_73",7
"_JamesKPolk_1_74",2
"_JamesKPolk_1_75",12
"_JamesKPolk_1_76",12
"_JamesKPolk_1_77",12
"_JamesKPolk_1_78",12
"_JamesKPolk_1_79",12
"_JamesKPolk_1_80",12
"_JamesKPolk_1_81",12
"_JamesKPolk_1_82",12
"_JamesKPolk_1_83",12
"_JamesKPolk_1_84",7
"_JamesKPolk_1_85",12
"_JamesKPolk_1_86",12
"_JamesKPolk_1_87",12
"_JamesKPolk_1_88",12
"_JamesKPolk_1_89",12
"_JamesKPolk_1_90",15
"_JamesKPolk_1_91",15
"_JamesKPolk_1_92",12
"_JamesKPolk_1_93",12
"_JamesKPolk_1_94",12
"_JamesKPolk_1_95",12
"_JamesKPolk_1_96",12
"_JamesKPolk_1_97",12
"_JamesKPolk_1_98",12
"_JamesKPolk_1_99",12
"_JamesKPolk_1_100",12
"_JamesKPolk_1_101",12
"_JamesKPolk_1_102",12
"_JamesKPolk_1_103",12
"_JamesKPolk_1_104",12
"_JamesKPolk_1_105",15
"_JamesKPolk_1_106",15
"_JamesKPolk_1_107",12
"_JamesKPolk_1_108",12
"_JamesKPolk_1_109",12
"_JamesKPolk_1_110",13
"_JamesKPolk_1_111",13
"_JamesKPolk_1_112",13
"_JamesKPolk_1_113",7
"_JamesKPolk_1_114",7
"_JamesKPolk_1_115",7
"_JamesKPolk_1_116",7
"_JamesKPolk_1_117",7
"_JamesKPolk_1_118",7
"_JamesKPolk_1_119",7
"_JamesKPolk_1_120",7
"_JamesKPolk_1_121",11
"_JamesKPolk_1_122",7
"_JamesKPolk_1_123",7
"_JamesKPolk_1_124",7
"_JamesKPolk_1_125",7
"_JamesKPolk_1_126",7
"_JamesKPolk_1_127",7
"_JamesKPolk_1_128",7
"_JamesKPolk_1_129",7
"_JamesKPolk_1_130",7
"_JamesKPolk_1_131",7
"_JamesKPolk_1_132",7
"_JamesKPolk_1_133",7
"_JamesKPolk_1_134",7
"_JamesKPolk_1_135",7
"_JamesKPolk_1_136",15
"_JamesKPolk_1_137",15
"_JamesKPolk_1_138",7
"_JamesKPolk_1_139",7
"_JamesKPolk_1_140",7
"_JamesKPolk_1_141",2
"_JamesKPolk_1_142",2
"_JamesKPolk_1_143",2
"_JamesKPolk_1_144",7
"_JamesKPolk_1_145",7
"_JamesKPolk_1_146",11
"_JamesKPolk_1_147",11
"_JamesKPolk_1_148",11
"_JamesKPolk_1_149",11
"_JamesKPolk_1_150",7
"_JamesKPolk_1_151",7
"_JamesKPolk_1_152",7
"_JamesKPolk_1_153",14
"_JamesKPolk_1_154",14
"_JamesKPolk_1_155",13
"_JamesKPolk_1_156",12
"_JamesKPolk_1_157",12
"_JamesKPolk_1_158",12
"_JamesKPolk_1_159",10
"_JamesKPolk_1_160",5
"_ZacharyTaylor_1_2",5
"_ZacharyTaylor_1_3",5
"_ZacharyTaylor_1_4",5
"_ZacharyTaylor_1_5",5
"_ZacharyTaylor_1_6",5
"_ZacharyTaylor_1_7",5
"_ZacharyTaylor_1_8",5
"_ZacharyTaylor_1_9",7
"_ZacharyTaylor_1_10",5
"_ZacharyTaylor_1_11",7
"_ZacharyTaylor_1_12",5
"_ZacharyTaylor_1_13",5
"_ZacharyTaylor_1_14",5
"_ZacharyTaylor_1_15",5
"_ZacharyTaylor_1_16",6
"_ZacharyTaylor_1_17",14
"_ZacharyTaylor_1_18",14
"_ZacharyTaylor_1_19",13
"_ZacharyTaylor_1_20",5
"_ZacharyTaylor_1_21",5
"_ZacharyTaylor_1_22",5
"_ZacharyTaylor_1_23",12
"_ZacharyTaylor_1_24",12
"_ZacharyTaylor_1_25",2
"_ZacharyTaylor_1_26",2
"_ZacharyTaylor_1_27",6
"_FranklinPierce_1_2",5
"_FranklinPierce_1_3",5
"_FranklinPierce_1_4",5
"_FranklinPierce_1_5",5
"_FranklinPierce_1_6",5
"_FranklinPierce_1_7",2
"_FranklinPierce_1_8",11
"_FranklinPierce_1_9",11
"_FranklinPierce_1_10",11
"_FranklinPierce_1_11",2
"_FranklinPierce_1_12",2
"_FranklinPierce_1_13",2
"_FranklinPierce_1_14",14
"_FranklinPierce_1_15",14
"_FranklinPierce_1_16",4
"_FranklinPierce_1_17",1
"_FranklinPierce_1_18",4
"_FranklinPierce_1_19",3
"_FranklinPierce_1_20",9
"_FranklinPierce_1_21",1
"_FranklinPierce_1_22",1
"_FranklinPierce_1_23",1
"_FranklinPierce_1_24",1
"_FranklinPierce_1_25",1
"_FranklinPierce_1_26",5
"_FranklinPierce_1_27",1
"_FranklinPierce_1_28",6
"_FranklinPierce_1_29",2
"_FranklinPierce_1_30",2
"_FranklinPierce_1_31",2
"_FranklinPierce_1_32",2
"_FranklinPierce_1_33",11
"_FranklinPierce_1_34",7
"_FranklinPierce_1_35",7
"_FranklinPierce_1_36",7
"_FranklinPierce_1_37",14
"_FranklinPierce_1_38",7
"_FranklinPierce_1_39",14
"_FranklinPierce_1_40",14
"_FranklinPierce_1_41",14
"_FranklinPierce_1_42",5
"_FranklinPierce_1_43",10
"_FranklinPierce_1_44",2
"_FranklinPierce_1_45",2
"_FranklinPierce_1_46",2
"_FranklinPierce_1_47",8
"_FranklinPierce_1_48",2
"_FranklinPierce_1_49",14
"_FranklinPierce_1_50",14
"_FranklinPierce_1_51",14
"_FranklinPierce_1_52",14
"_FranklinPierce_1_53",14
"_FranklinPierce_1_54",2
"_FranklinPierce_1_55",2
"_FranklinPierce_1_56",1
"_FranklinPierce_1_57",13
"_FranklinPierce_1_58",6
"_FranklinPierce_1_59",13
"_FranklinPierce_1_60",13
"_FranklinPierce_1_61",13
"_FranklinPierce_1_62",12
"_FranklinPierce_1_63",11
"_FranklinPierce_1_64",11
"_FranklinPierce_1_65",11
"_FranklinPierce_1_66",5
"_FranklinPierce_1_67",5
"_FranklinPierce_1_68",5
"_FranklinPierce_1_69",5
"_FranklinPierce_1_70",13
"_FranklinPierce_1_71",13
"_FranklinPierce_1_72",5
"_FranklinPierce_1_73",5
"_FranklinPierce_1_74",5
"_FranklinPierce_1_75",5
"_FranklinPierce_1_76",5
"_FranklinPierce_1_77",5
"_FranklinPierce_1_78",10
"_FranklinPierce_1_79",2
"_FranklinPierce_1_80",7
"_FranklinPierce_1_81",7
"_FranklinPierce_1_82",7
"_FranklinPierce_1_83",7
"_FranklinPierce_1_84",2
"_FranklinPierce_1_85",7
"_FranklinPierce_1_86",2
"_FranklinPierce_1_87",6
"_FranklinPierce_1_88",8
"_FranklinPierce_1_89",1
"_FranklinPierce_1_90",15
"_FranklinPierce_1_91",15
"_FranklinPierce_1_92",8
"_FranklinPierce_1_93",3
"_FranklinPierce_1_94",13
"_FranklinPierce_1_95",6
"_FranklinPierce_1_96",6
"_FranklinPierce_1_97",2
"_FranklinPierce_1_98",10
"_FranklinPierce_1_99",10
"_FranklinPierce_1_100",10
"_FranklinPierce_1_101",10
"_FranklinPierce_1_102",10
"_FranklinPierce_1_103",1
"_FranklinPierce_1_104",2
"_FranklinPierce_1_105",6
"_FranklinPierce_1_106",11
"_FranklinPierce_1_107",11
"_FranklinPierce_1_108",13
"_FranklinPierce_1_109",2
"_FranklinPierce_1_110",2
"_FranklinPierce_1_111",8
"_JamesBuchanan_1_2",5
"_JamesBuchanan_1_3",5
"_JamesBuchanan_1_4",5
"_JamesBuchanan_1_5",5
"_JamesBuchanan_1_6",2
"_JamesBuchanan_1_7",1
"_JamesBuchanan_1_8",7
"_JamesBuchanan_1_9",7
"_JamesBuchanan_1_10",7
"_JamesBuchanan_1_11",7
"_JamesBuchanan_1_12",7
"_JamesBuchanan_1_13",7
"_JamesBuchanan_1_14",7
"_JamesBuchanan_1_15",7
"_JamesBuchanan_1_16",7
"_JamesBuchanan_1_17",7
"_JamesBuchanan_1_18",7
"_JamesBuchanan_1_19",7
"_JamesBuchanan_1_20",7
"_JamesBuchanan_1_21",2
"_JamesBuchanan_1_22",2
"_JamesBuchanan_1_23",2
"_JamesBuchanan_1_24",2
"_JamesBuchanan_1_25",15
"_JamesBuchanan_1_26",15
"_JamesBuchanan_1_27",8
"_JamesBuchanan_1_28",2
"_JamesBuchanan_1_29",2
"_JamesBuchanan_1_30",2
"_JamesBuchanan_1_31",2
"_JamesBuchanan_1_32",2
"_JamesBuchanan_1_33",2
"_JamesBuchanan_1_34",2
"_JamesBuchanan_1_35",11
"_JamesBuchanan_1_36",11
"_JamesBuchanan_1_37",11
"_JamesBuchanan_1_38",11
"_JamesBuchanan_1_39",11
"_JamesBuchanan_1_40",2
"_JamesBuchanan_1_41",6
"_JamesBuchanan_1_42",6
"_JamesBuchanan_1_43",6
"_JamesBuchanan_1_44",12
"_JamesBuchanan_1_45",12
"_JamesBuchanan_1_46",12
"_JamesBuchanan_1_47",12
"_JamesBuchanan_1_48",12
"_JamesBuchanan_1_49",12
"_JamesBuchanan_1_50",12
"_JamesBuchanan_1_51",12
"_JamesBuchanan_1_52",12
"_JamesBuchanan_1_53",12
"_JamesBuchanan_1_54",12
"_JamesBuchanan_1_55",12
"_JamesBuchanan_1_56",13
"_JamesBuchanan_1_57",13
"_JamesBuchanan_1_58",13
"_JamesBuchanan_1_59",13
"_JamesBuchanan_1_60",7
"_JamesBuchanan_1_61",7
"_JamesBuchanan_1_62",7
"_JamesBuchanan_1_63",2
"_JamesBuchanan_1_64",7
"_JamesBuchanan_1_65",7
"_JamesBuchanan_1_66",11
"_JamesBuchanan_1_67",11
"_JamesBuchanan_1_68",11
"_JamesBuchanan_1_69",11
"_JamesBuchanan_1_70",7
"_JamesBuchanan_1_71",11
"_JamesBuchanan_1_72",7
"_JamesBuchanan_1_73",11
"_JamesBuchanan_1_74",2
"_JamesBuchanan_1_75",2
"_JamesBuchanan_1_76",2
"_JamesBuchanan_1_77",14
"_JamesBuchanan_1_78",14
"_JamesBuchanan_1_79",14
"_JamesBuchanan_1_80",14
"_JamesBuchanan_1_81",14
"_JamesBuchanan_1_82",14
"_JamesBuchanan_1_83",14
"_JamesBuchanan_1_84",7
"_JamesBuchanan_1_85",14
"_JamesBuchanan_1_86",14
"_JamesBuchanan_1_87",13
"_JamesBuchanan_1_88",13
"_JamesBuchanan_1_89",13
"_AbrahamLincoln_1_2",2
"_AbrahamLincoln_1_3",2
"_AbrahamLincoln_1_4",2
"_AbrahamLincoln_1_5",2
"_AbrahamLincoln_1_6",2
"_AbrahamLincoln_1_7",8
"_AbrahamLincoln_1_8",10
"_AbrahamLincoln_1_9",10
"_AbrahamLincoln_1_10",10
"_AbrahamLincoln_1_11",7
"_AbrahamLincoln_1_12",10
"_AbrahamLincoln_1_13",10
"_AbrahamLincoln_1_14",10
"_AbrahamLincoln_1_15",10
"_AbrahamLincoln_1_16",10
"_AbrahamLincoln_1_17",10
"_AbrahamLincoln_1_18",10
"_AbrahamLincoln_1_19",10
"_AbrahamLincoln_1_20",10
"_AbrahamLincoln_1_21",10
"_AbrahamLincoln_1_22",15
"_AbrahamLincoln_1_23",15
"_AbrahamLincoln_1_24",10
"_AbrahamLincoln_1_25",10
"_AbrahamLincoln_1_26",10
"_AbrahamLincoln_1_27",10
"_AbrahamLincoln_1_28",10
"_AbrahamLincoln_1_29",8
"_AbrahamLincoln_1_30",8
"_AbrahamLincoln_1_31",2
"_AbrahamLincoln_1_32",8
"_AbrahamLincoln_1_33",7
"_AbrahamLincoln_1_34",7
"_AbrahamLincoln_1_35",7
"_AbrahamLincoln_1_36",10
"_AbrahamLincoln_1_37",15
"_AbrahamLincoln_1_38",7
"_AbrahamLincoln_1_39",10
"_AbrahamLincoln_1_40",7
"_AbrahamLincoln_1_41",7
"_AbrahamLincoln_1_42",7
"_AbrahamLincoln_1_43",7
"_AbrahamLincoln_1_44",7
"_AbrahamLincoln_1_45",7
"_AbrahamLincoln_1_46",7
"_AbrahamLincoln_1_47",7
"_AbrahamLincoln_1_48",7
"_AbrahamLincoln_1_49",7
"_AbrahamLincoln_1_50",5
"_AbrahamLincoln_1_51",7
"_AbrahamLincoln_1_52",15
"_AbrahamLincoln_1_53",7
"_AbrahamLincoln_1_54",7
"_AbrahamLincoln_1_55",7
"_AbrahamLincoln_1_56",5
"_AbrahamLincoln_1_57",2
"_AbrahamLincoln_1_58",2
"_AbrahamLincoln_1_59",2
"_AbrahamLincoln_1_60",2
"_AbrahamLincoln_1_61",2
"_AbrahamLincoln_1_62",2
"_AbrahamLincoln_1_63",3
"_AbrahamLincoln_1_64",3
"_AbrahamLincoln_1_65",3
"_AbrahamLincoln_1_66",7
"_AbrahamLincoln_1_67",1
"_AbrahamLincoln_1_68",10
"_AbrahamLincoln_1_69",10
"_AbrahamLincoln_1_70",10
"_AbrahamLincoln_1_71",10
"_AbrahamLincoln_1_72",15
"_AbrahamLincoln_1_73",10
"_AbrahamLincoln_1_74",10
"_AbrahamLincoln_1_75",10
"_AbrahamLincoln_1_76",7
"_AbrahamLincoln_1_77",7
"_AbrahamLincoln_1_78",10
"_AbrahamLincoln_1_79",7
"_AbrahamLincoln_1_80",7
"_AbrahamLincoln_1_81",10
"_AbrahamLincoln_1_82",10
"_AbrahamLincoln_1_83",10
"_AbrahamLincoln_1_84",10
"_AbrahamLincoln_1_85",10
"_AbrahamLincoln_1_86",10
"_AbrahamLincoln_1_87",13
"_AbrahamLincoln_1_88",7
"_AbrahamLincoln_1_89",7
"_AbrahamLincoln_1_90",10
"_AbrahamLincoln_1_91",10
"_AbrahamLincoln_1_92",10
"_AbrahamLincoln_1_93",10
"_AbrahamLincoln_1_94",10
"_AbrahamLincoln_1_95",10
"_AbrahamLincoln_1_96",10
"_AbrahamLincoln_1_97",10
"_AbrahamLincoln_1_98",10
"_AbrahamLincoln_1_99",7
"_AbrahamLincoln_1_100",3
"_AbrahamLincoln_1_101",10
"_AbrahamLincoln_1_102",10
"_AbrahamLincoln_1_103",10
"_AbrahamLincoln_1_104",15
"_AbrahamLincoln_1_105",15
"_AbrahamLincoln_1_106",15
"_AbrahamLincoln_1_107",15
"_AbrahamLincoln_1_108",15
"_AbrahamLincoln_1_109",3
"_AbrahamLincoln_1_110",15
"_AbrahamLincoln_1_111",15
"_AbrahamLincoln_1_112",15
"_AbrahamLincoln_1_113",15
"_AbrahamLincoln_1_114",15
"_AbrahamLincoln_1_115",7
"_AbrahamLincoln_1_116",7
"_AbrahamLincoln_1_117",10
"_AbrahamLincoln_1_118",2
"_AbrahamLincoln_1_119",10
"_AbrahamLincoln_1_120",10
"_AbrahamLincoln_1_121",10
"_AbrahamLincoln_1_122",10
"_AbrahamLincoln_1_123",10
"_AbrahamLincoln_1_124",7
"_AbrahamLincoln_1_125",6
"_AbrahamLincoln_1_126",6
"_AbrahamLincoln_1_127",15
"_AbrahamLincoln_1_128",10
"_AbrahamLincoln_1_129",10
"_AbrahamLincoln_1_130",15
"_AbrahamLincoln_1_131",6
"_AbrahamLincoln_1_132",15
"_AbrahamLincoln_1_133",3
"_AbrahamLincoln_1_134",3
"_AbrahamLincoln_1_135",15
"_AbrahamLincoln_1_136",10
"_AbrahamLincoln_1_137",8
"_AbrahamLincoln_1_138",5
"_AbrahamLincoln_1_139",4
"_AbrahamLincoln_1_140",5
"_AbrahamLincoln_1_141",6
"_AbrahamLincoln_1_142",7
"_AbrahamLincoln_1_143",15
"_AbrahamLincoln_1_144",5
"_AbrahamLincoln_1_145",7
"_AbrahamLincoln_1_146",11
"_AbrahamLincoln_1_147",2
"_AbrahamLincoln_2_2",8
"_AbrahamLincoln_2_3",4
"_AbrahamLincoln_2_4",11
"_AbrahamLincoln_2_5",11
