"","V1"
"_ThomasJefferson_2_50",5
"_ThomasJefferson_2_51",10
"_ThomasJefferson_2_52",10
"_ThomasJefferson_2_53",10
"_ThomasJefferson_2_54",10
"_ThomasJefferson_2_55",10
"_ThomasJefferson_2_56",10
"_ThomasJefferson_2_57",10
"_ThomasJefferson_2_58",10
"_ThomasJefferson_2_59",13
"_ThomasJefferson_2_60",13
"_ThomasJefferson_2_61",13
"_ThomasJefferson_2_62",13
"_ThomasJefferson_2_63",3
"_ThomasJefferson_2_64",5
"_ThomasJefferson_2_65",3
"_ThomasJefferson_2_66",5
"_ThomasJefferson_2_67",2
"_ThomasJefferson_2_68",2
"_ThomasJefferson_2_69",5
"_ThomasJefferson_2_70",5
"_JamesMadison_1_2",5
"_JamesMadison_1_3",5
"_JamesMadison_1_4",2
"_JamesMadison_1_5",2
"_JamesMadison_1_6",11
"_JamesMadison_1_7",11
"_JamesMadison_1_8",1
"_JamesMadison_1_9",14
"_JamesMadison_1_10",14
"_JamesMadison_1_11",2
"_JamesMadison_1_12",13
"_JamesMadison_1_13",7
"_JamesMadison_1_14",13
"_JamesMadison_1_15",5
"_JamesMadison_1_16",5
"_JamesMadison_1_17",14
"_JamesMadison_1_18",14
"_JamesMadison_1_19",14
"_JamesMadison_1_20",14
"_JamesMadison_1_21",6
"_JamesMadison_1_22",7
"_JamesMadison_1_23",7
"_JamesMadison_1_24",7
"_JamesMadison_1_25",7
"_JamesMadison_1_26",13
"_JamesMadison_1_27",12
"_JamesMadison_1_28",11
"_JamesMadison_1_29",11
"_JamesMadison_1_30",11
"_JamesMadison_1_31",1
"_JamesMadison_1_32",1
"_JamesMadison_1_33",1
"_JamesMadison_1_34",5
"_JamesMadison_1_35",5
"_JamesMadison_1_36",5
"_JamesMadison_2_2",5
"_JamesMadison_2_3",5
"_JamesMadison_2_4",6
"_JamesMadison_2_5",13
"_JamesMadison_2_6",8
"_JamesMadison_2_7",14
"_JamesMadison_2_8",14
"_JamesMadison_2_9",13
"_JamesMadison_2_10",13
"_JamesMadison_2_11",13
"_JamesMadison_2_12",13
"_JamesMadison_2_13",1
"_JamesMadison_2_14",13
"_JamesMadison_2_15",11
"_JamesMadison_2_16",7
"_JamesMadison_2_17",7
"_JamesMadison_2_18",13
"_JamesMadison_2_19",1
"_JamesMadison_2_20",1
"_JamesMadison_2_21",1
"_JamesMadison_2_22",1
"_JamesMadison_2_23",3
"_JamesMadison_2_24",11
"_JamesMadison_2_25",11
"_JamesMadison_2_26",11
"_JamesMadison_2_27",11
"_JamesMadison_2_28",11
"_JamesMadison_2_29",11
"_JamesMadison_2_30",6
"_JamesMadison_2_31",1
"_JamesMadison_2_32",1
"_JamesMadison_2_33",11
"_JamesMadison_2_34",11
"_JamesMadison_2_35",11
"_JamesMadison_2_36",11
"_JamesMadison_2_37",11
"_JamesMadison_2_38",11
"_JamesMonroe_1_2",5
"_JamesMonroe_1_3",5
"_JamesMonroe_1_4",5
"_JamesMonroe_1_5",5
"_JamesMonroe_1_6",5
"_JamesMonroe_1_7",2
"_JamesMonroe_1_8",2
"_JamesMonroe_1_9",2
"_JamesMonroe_1_10",11
"_JamesMonroe_1_11",7
"_JamesMonroe_1_12",2
"_JamesMonroe_1_13",13
"_JamesMonroe_1_14",13
"_JamesMonroe_1_15",7
"_JamesMonroe_1_16",7
"_JamesMonroe_1_17",7
"_JamesMonroe_1_18",7
"_JamesMonroe_1_19",7
"_JamesMonroe_1_20",13
"_JamesMonroe_1_21",13
"_JamesMonroe_1_22",13
"_JamesMonroe_1_23",5
"_JamesMonroe_1_24",2
"_JamesMonroe_1_25",2
"_JamesMonroe_1_26",2
"_JamesMonroe_1_27",11
"_JamesMonroe_1_28",2
"_JamesMonroe_1_29",14
"_JamesMonroe_1_30",2
"_JamesMonroe_1_31",2
"_JamesMonroe_1_32",11
"_JamesMonroe_1_33",5
"_JamesMonroe_1_34",7
"_JamesMonroe_1_35",13
"_JamesMonroe_1_36",13
"_JamesMonroe_1_37",13
"_JamesMonroe_1_38",13
"_JamesMonroe_1_39",13
"_JamesMonroe_1_40",13
"_JamesMonroe_1_41",13
"_JamesMonroe_1_42",13
"_JamesMonroe_1_43",13
"_JamesMonroe_1_44",11
"_JamesMonroe_1_45",11
"_JamesMonroe_1_46",11
"_JamesMonroe_1_47",11
"_JamesMonroe_1_48",13
"_JamesMonroe_1_49",2
"_JamesMonroe_1_50",2
"_JamesMonroe_1_51",7
"_JamesMonroe_1_52",10
"_JamesMonroe_1_53",7
"_JamesMonroe_1_54",5
"_JamesMonroe_1_55",6
"_JamesMonroe_1_56",6
"_JamesMonroe_1_57",6
"_JamesMonroe_1_58",6
"_JamesMonroe_1_59",7
"_JamesMonroe_1_60",6
"_JamesMonroe_1_61",11
"_JamesMonroe_1_62",6
"_JamesMonroe_1_63",6
"_JamesMonroe_1_64",14
"_JamesMonroe_1_65",2
"_JamesMonroe_1_66",11
"_JamesMonroe_1_67",2
"_JamesMonroe_1_68",11
"_JamesMonroe_1_69",2
"_JamesMonroe_1_70",2
"_JamesMonroe_1_71",14
"_JamesMonroe_1_72",14
"_JamesMonroe_1_73",14
"_JamesMonroe_1_74",11
"_JamesMonroe_1_75",11
"_JamesMonroe_1_76",11
"_JamesMonroe_1_77",11
"_JamesMonroe_1_78",11
"_JamesMonroe_1_79",11
"_JamesMonroe_1_80",11
"_JamesMonroe_1_81",11
"_JamesMonroe_1_82",11
"_JamesMonroe_1_83",11
"_JamesMonroe_1_84",11
"_JamesMonroe_1_85",11
"_JamesMonroe_1_86",11
"_JamesMonroe_1_87",11
"_JamesMonroe_1_88",11
"_JamesMonroe_1_89",11
"_JamesMonroe_1_90",11
"_JamesMonroe_1_91",2
"_JamesMonroe_1_92",2
"_JamesMonroe_1_93",7
"_JamesMonroe_1_94",7
"_JamesMonroe_1_95",12
"_JamesMonroe_1_96",2
"_JamesMonroe_1_97",2
"_JamesMonroe_1_98",12
"_JamesMonroe_1_99",12
"_JamesMonroe_1_100",12
"_JamesMonroe_1_101",11
"_JamesMonroe_1_102",11
"_JamesMonroe_1_103",11
"_JamesMonroe_1_104",7
"_JamesMonroe_1_105",12
"_JamesMonroe_1_106",12
"_JamesMonroe_1_107",5
"_JamesMonroe_1_108",12
"_JamesMonroe_1_109",12
"_JamesMonroe_1_110",12
"_JamesMonroe_1_111",11
"_JamesMonroe_1_112",3
"_JamesMonroe_1_113",5
"_JamesMonroe_1_114",5
"_JamesMonroe_1_115",7
"_JamesMonroe_1_116",13
"_JamesMonroe_1_117",13
"_JamesMonroe_1_118",2
"_JamesMonroe_1_119",13
"_JamesMonroe_1_120",13
"_JamesMonroe_1_121",13
"_JamesMonroe_1_122",2
"_JamesMonroe_1_123",13
"_JamesMonroe_1_124",13
"_JamesMonroe_1_125",13
"_JamesMonroe_1_126",13
"_JamesMonroe_1_127",11
"_JamesMonroe_1_128",4
"_JamesMonroe_1_129",13
"_JamesMonroe_1_130",11
"_JamesMonroe_1_131",5
"_JamesMonroe_1_132",5
"_JamesMonroe_1_133",5
"_JamesMonroe_1_134",5
"_JamesMonroe_1_135",5
"_JamesMonroe_2_2",5
"_JamesMonroe_2_3",5
"_JamesMonroe_2_4",5
"_JamesMonroe_2_5",2
"_JamesMonroe_2_6",2
"_JamesMonroe_2_7",2
"_JamesMonroe_2_8",10
"_JamesMonroe_2_9",5
"_JamesMonroe_2_10",10
"_JamesMonroe_2_11",5
"_JamesMonroe_2_12",2
"_JamesMonroe_2_13",14
"_JamesMonroe_2_14",5
"_JamesMonroe_2_15",7
"_JamesMonroe_2_16",7
"_JamesMonroe_2_17",11
"_JamesMonroe_2_18",11
"_JamesMonroe_2_19",11
"_JamesMonroe_2_20",11
"_JamesMonroe_2_21",11
"_JamesMonroe_2_22",11
"_JamesMonroe_2_23",11
"_JamesMonroe_2_24",11
"_JamesMonroe_2_25",11
"_JamesMonroe_2_26",11
"_JamesMonroe_2_27",11
"_JamesMonroe_2_28",11
"_JamesMonroe_2_29",11
"_JamesMonroe_2_30",11
"_JamesMonroe_2_31",7
"_JamesMonroe_2_32",14
"_JamesMonroe_2_33",14
"_JamesMonroe_2_34",14
"_JamesMonroe_2_35",11
"_JamesMonroe_2_36",11
"_JamesMonroe_2_37",2
"_JamesMonroe_2_38",2
"_JamesMonroe_2_39",11
"_JamesMonroe_2_40",10
"_JamesMonroe_2_41",2
"_JamesMonroe_2_42",2
"_JamesMonroe_2_43",11
"_JamesMonroe_2_44",10
"_JamesMonroe_2_45",10
"_JamesMonroe_2_46",10
"_JamesMonroe_2_47",10
"_JamesMonroe_2_48",10
"_JamesMonroe_2_49",13
"_JamesMonroe_2_50",12
"_JamesMonroe_2_51",13
"_JamesMonroe_2_52",14
"_JamesMonroe_2_53",7
"_JamesMonroe_2_54",11
"_JamesMonroe_2_55",11
"_JamesMonroe_2_56",11
"_JamesMonroe_2_57",11
"_JamesMonroe_2_58",2
"_JamesMonroe_2_59",10
"_JamesMonroe_2_60",10
"_JamesMonroe_2_61",10
"_JamesMonroe_2_62",10
"_JamesMonroe_2_63",14
"_JamesMonroe_2_64",10
"_JamesMonroe_2_65",11
"_JamesMonroe_2_66",11
"_JamesMonroe_2_67",7
"_JamesMonroe_2_68",7
"_JamesMonroe_2_69",11
"_JamesMonroe_2_70",11
"_JamesMonroe_2_71",7
"_JamesMonroe_2_72",7
"_JamesMonroe_2_73",7
"_JamesMonroe_2_74",14
"_JamesMonroe_2_75",7
"_JamesMonroe_2_76",11
"_JamesMonroe_2_77",11
"_JamesMonroe_2_78",11
"_JamesMonroe_2_79",11
"_JamesMonroe_2_80",11
"_JamesMonroe_2_81",11
"_JamesMonroe_2_82",12
"_JamesMonroe_2_83",11
"_JamesMonroe_2_84",13
"_JamesMonroe_2_85",12
"_JamesMonroe_2_86",12
"_JamesMonroe_2_87",12
"_JamesMonroe_2_88",12
