"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.0416666666666667,0.0651041666666667,0.0416666666666667,0.0494791666666667,0.182291666666667,0.0572916666666667,0.0416666666666667,0.0963541666666667,0.0416666666666667,0.0494791666666667,0.0494791666666667,0.0572916666666667,0.104166666666667,0.0338541666666667,0.0885416666666667
"2",0.0349462365591398,0.0510752688172043,0.0349462365591398,0.0591397849462366,0.220430107526882,0.0913978494623656,0.043010752688172,0.0510752688172043,0.0510752688172043,0.0349462365591398,0.0994623655913979,0.0510752688172043,0.0994623655913979,0.0268817204301075,0.0510752688172043
"3",0.0275482093663912,0.110192837465565,0.0358126721763085,0.0606060606060606,0.267217630853995,0.0440771349862259,0.0358126721763085,0.0440771349862259,0.0275482093663912,0.0440771349862259,0.0440771349862259,0.0523415977961433,0.134986225895317,0.0275482093663912,0.0440771349862259
"4",0.0416666666666667,0.081140350877193,0.0285087719298246,0.0219298245614035,0.271929824561404,0.0416666666666667,0.0350877192982456,0.0548245614035088,0.0219298245614035,0.100877192982456,0.0350877192982456,0.0482456140350877,0.114035087719298,0.0350877192982456,0.0679824561403509
"5",0.0476190476190476,0.0476190476190476,0.0346320346320346,0.0476190476190476,0.294372294372294,0.0606060606060606,0.0411255411255411,0.0541125541125541,0.0281385281385281,0.0606060606060606,0.0606060606060606,0.0281385281385281,0.138528138528139,0.0281385281385281,0.0281385281385281
"6",0.041025641025641,0.0487179487179487,0.0256410256410256,0.0256410256410256,0.194871794871795,0.102564102564103,0.0717948717948718,0.0564102564102564,0.0256410256410256,0.0564102564102564,0.0487179487179487,0.0487179487179487,0.148717948717949,0.0333333333333333,0.0717948717948718
"7",0.048689138576779,0.0599250936329588,0.048689138576779,0.0374531835205993,0.0711610486891386,0.104868913857678,0.0823970037453184,0.0599250936329588,0.0374531835205993,0.0374531835205993,0.0374531835205993,0.0823970037453184,0.149812734082397,0.0711610486891386,0.0711610486891386
"8",0.0408805031446541,0.106918238993711,0.0314465408805031,0.0314465408805031,0.059748427672956,0.0786163522012579,0.125786163522013,0.0691823899371069,0.0408805031446541,0.0408805031446541,0.0691823899371069,0.059748427672956,0.0880503144654088,0.0880503144654088,0.0691823899371069
"9",0.042483660130719,0.140522875816993,0.0326797385620915,0.042483660130719,0.0816993464052288,0.0326797385620915,0.0915032679738562,0.0718954248366013,0.042483660130719,0.042483660130719,0.0718954248366013,0.0522875816993464,0.0718954248366013,0.120915032679739,0.0620915032679739
"10",0.0416666666666667,0.176282051282051,0.0416666666666667,0.0320512820512821,0.0801282051282051,0.0416666666666667,0.0897435897435897,0.0705128205128205,0.0608974358974359,0.0416666666666667,0.0512820512820513,0.0512820512820513,0.0705128205128205,0.0416666666666667,0.108974358974359
