,Name,Score,Qty
0,Circle U (Orthodox Union),True,263
1,Kosher Certified,True,327
2,Non GMO or USDA Organic,True,40
3,Organic Certified,True,35
4,Recycle - Widely Recycled,True,71
5,Recycling Logo Cert,True,227
6,USDA Certified Cert,True,35
7,USDA Organic,True,35
8,WIC Massachusetts Products,True,30
9,5 PP Recycle Cert,False,1
10,7 Other Recycle Cert,False,1
11,Certified Organic Quality Assurance Intl,False,5
12,Chicago Rabbinical Council,False,1
13,Circle K (OK Kosher Certification),False,4
14,Edward & Sons Trading Company Cert,False,1
15,Fruits & Veggies More Matters Cert,False,4
16,Generic Recycle Cert,False,1
17,Kehilla Kosher Cert,False,1
18,Kehilla Kosher Heart-K Cert,False,1
19,Kosher Certification Service Cert,False,1
20,Non GMO Certified,False,11
21,Non GMO Project Verified,False,11
22,NonProfit/Assocation/Brand Endorsements Cert,False,16
23,Other Kosher Certifications,False,5
24,Other Recycling Cert,False,6
25,Other Sustainability Certifications,False,3
26,Other Vegan Logo Cert,False,1
27,P Pareve Parve Parev Cert,False,6
28,Pareve (Kosher),False,9
29,Parve (Kosher),False,8
30,Recycle - Limited Check Locally,False,5
31,Recycle - Please Recycle,False,142
32,Recycling Symbol,False,1
33,Recycling Tidy Man Cert,False,1
34,SmartLabel Cert,False,12
35,Star-K,False,20
36,Steel Recycling Cert,False,7
37,Sustainability Certified,False,4
38,Sustainable Forestry Initiative Cert,False,1
39,Three Line K Kosher Cert,False,4
40,Triangle K (kashrut),False,33
41,Vegan Certified,False,2
42,YOLO Certified Organic Agriculture Cert,False,1
