,Name,Score,Qty
0,High Density Polyethylene Material,True,22
1,Kosher Certified,True,307
2,Quality Kosher Supervision 2 Cert,True,3
3,Recycling Logo Cert,True,82
4,1 PETE Recycle Cert,False,1
5,2 PEHD or HDPE Cert,False,3
6,Blue Ribbon K Kosher,False,10
7,Certified B Corporation,False,6
8,Certified Organic Quality Assurance Intl,False,26
9,Chicago Rabbinical Council,False,42
10,Circle K (OK Kosher Certification),False,12
11,Circle K Dairy Kosher Cert,False,2
12,Circle U (Orthodox Union),False,29
13,D (Dairy Product),False,115
14,Dairy Kosher,False,20
15,DK Kosher,False,4
16,Eco-Friendly Certified,False,13
17,Forest Stewardship Council,False,3
18,Generic Recycle Cert,False,8
19,Guiding Stars 2 Cert,False,1
20,Halal Certifications Cert,False,6
21,Humane Certified,False,7
22,Humane Heartland Cert,False,5
23,IFANCA Halal Cert,False,6
24,Kehilla Kosher California-K Cert,False,10
25,Kehilla Kosher Cert,False,10
26,KOF-K Dairy,False,14
27,Kosher (KOF-K),False,6
28,Kosher Overseers Cert,False,1
29,Non GMO Certified,False,13
30,Non GMO or USDA Organic,False,70
31,Non GMO Project Verified,False,9
32,NonProfit/Assocation/Brand Endorsements Cert,False,84
33,NSF Non-GMO True North Standard Cert,False,2
34,Nutrition Scoring Systems Certified,False,1
35,Oregon Tilth Certified Organic,False,2
36,Organic Certified,False,65
37,Organic is Always Organic Non GMO Cert,False,1
38,Other Humane Certifications,False,1
39,Other Kosher Certifications,False,10
40,Other Non GMO Certifications,False,1
41,Other Recycling Cert,False,1
42,Other Religious Certification,False,1
43,Other Vegan Logo Cert,False,1
44,OU Kosher Dairy Cert,False,109
45,Plain K,False,10
46,Polyethylene Terephthalate Material,False,1
47,Rabbinical Council of New England Cert,False,7
48,Rainforest Alliance Certified,False,3
49,Real California Milk Cert,False,9
50,Real Dairy Symbol,False,68
51,Recycle - Please Recycle,False,9
52,Recycle - Widely Recycled,False,42
53,Recycled High Density Polyethylene Material,False,1
54,Scroll K Kosher,False,1
55,Shield K Cert,False,3
56,SmartLabel Cert,False,16
57,Star-D Kosher Cert,False,31
58,State/Country Specific Endorsements Cert,False,9
59,Sustainability Certified,False,13
60,Sustainable Forestry Initiative Cert,False,4
61,Tetra Pak Cert,False,13
62,Tetra Pak Tetra Brol Aseptic Cert,False,1
63,Triangle K (kashrut),False,4
64,USDA Certified Cert,False,65
65,USDA Organic,False,65
66,USDA Process Verified 2,False,2
67,USDA Process Verified Cert,False,2
68,Validus Animal Welfare Review Cert,False,1
69,Vegan Certified,False,1
70,WIC Massachusetts Products,False,39
