"Name","PA","OBP"
"Darwin Barney",262,0.3
"Robbie Grossman",422,0.337
"Michael Morse",482,0.336
"Logan Morrison",365,0.315
"Austin Jackson",656,0.308
"Jason Kipnis",555,0.31
"Curtis Granderson",654,0.326
"Oswaldo Arcia",410,0.3
"Chris Stewart",154,0.362
"Kirk Nieuwenhuis",130,0.346
"Coco Crisp",536,0.336
"Adam Rosales",181,0.328
"Abraham Almonte",220,0.275
"Delmon Young",255,0.337
"James Loney",651,0.336
"Matt Wieters",112,0.339
"Alexi Amarista",466,0.286
"Mike Moustakas",500,0.271
"Will Venable",448,0.288
"DJ LeMahieu",538,0.315
"Mark Teixeira",508,0.313
"Marwin Gonzalez",310,0.327
"Jake Marisnick",237,0.281
"Anthony Recker",189,0.246
"Yonder Alonso",288,0.285
"Caleb Joseph",275,0.264
"Martin Maldonado",126,0.32
"Eugenio Suarez",277,0.316
"Brandon Belt",235,0.306
"Matt den Dekker",174,0.345
"Juan Francisco",320,0.291
"Christian Vazquez",201,0.308
"Carlos Corporan",190,0.302
"Wilin Rosario",410,0.305
"Andre Ethier",380,0.322
"Jonathan Schoop",481,0.244
"Ryan Rua",109,0.321
"Randal Grichuk",116,0.278
"Colby Rasmus",376,0.287
"Kevin Pillar",122,0.295
"Tommy Medica",259,0.286
"Marcus Semien",255,0.3
"Adeiny Hechavarria",574,0.308
"Jose Lobaton",230,0.287
"Ryan Flaherty",312,0.288
"Rougned Odor",417,0.297
"Danny Espinosa",364,0.283
"Travis Ishikawa",119,0.311
"Omar Infante",575,0.295
"Kelly Johnson",297,0.296
"Eric Campbell",211,0.322
"Miguel Rojas",162,0.242
"Danny Valencia",284,0.296
"Chris Johnson",611,0.292
"Chris Davis",525,0.3
"Cameron Maybin",272,0.29
"Ramon Santiago",214,0.343
"Xander Bogaerts",594,0.297
"Justin Ruggiano",250,0.337
"Munenori Kawasaki",274,0.327
"Hank Conger",260,0.293
"Erik Kratz",115,0.243
"Darin Ruf",117,0.31
"Chris Denorfia",358,0.284
"B.J. Upton",582,0.287
"Cody Asche",434,0.309
"Chris Young",366,0.299
"Michael Bourn",487,0.314
"Brandon Hicks",242,0.28
"Efren Navarro",174,0.302
"Ichiro Suzuki",385,0.324
"Donovan Solano",340,0.3
"Kennys Vargas",234,0.316
"Jordan Schafer",240,0.31
"David DeJesus",273,0.344
"Torii Hunter",586,0.319
"Ike Davis",427,0.344
"Clint Barmes",116,0.328
