Country,Year,AverageIncome,P99,P99.5,P99.9
Canada,1920,4980.43,34101.23,45661.68,110173.2
Canada,1921,4474.09,39351.45,53371.48,128898.43
Canada,1922,4987.14,38588.09,51905.46,119335.69
Canada,1923,5299.71,38119.53,52707.21,121157.85
Canada,1924,5241.8,37488.07,51787.42,121332.34
Canada,1925,5599.79,34714.7,51062.06,119210.75
Canada,1926,5944.11,37244.9,56538.94,137099.13
Canada,1927,6179.17,39758.28,60525.49,149795.06
Canada,1928,6474.09,43604.83,66064.11,163730.95
Canada,1929,6292.55,43148.99,65631.45,166663.23
Canada,1930,5830.58,40712.2,61880.47,156424.41
Canada,1931,5249.71,40687.98,59346.77,142158.91
Canada,1932,4673.73,39420.99,56013.26,131513.84
Canada,1933,4396.58,38670.05,54947.26,126986.25
Canada,1934,4754.98,39712.29,56777.09,133364.13
Canada,1935,4963.25,40300.07,57873.45,135929.55
Canada,1936,5132.36,41416.23,59976.78,145337.29
Canada,1937,5543.78,41818.41,60663.51,149064.6
Canada,1938,5494.37,46459.41,69133.97,165112.26
Canada,1939,5707.88,44905.01,64643.47,159338.76
Canada,1940,6278.41,46296.3,66045.4,145424.13
Canada,1941,6990.54,45836.61,65018.54,150140.47
Canada,1942,8383.08,47238.14,67138.69,152134.9
Canada,1943,8834.67,48891.48,68590.22,151055.48
Canada,1944,9472.91,50246.98,70026.27,150036.78
Canada,1945,9303.8,50395.67,70283.22,148844.23
Canada,1946,9037.1,50901.91,72436.16,156353.87
Canada,1947,9291.37,52726.77,76312.63,163024.82
Canada,1948,9314.16,50206.73,71811.92,155954.6
Canada,1949,9162.07,51530.33,74058.71,160900.2
Canada,1950,9328.06,52003.35,75685.56,165196.53
Canada,1951,9917.31,51962.07,74233.51,166579
Canada,1952,10285.25,53868.37,76487.58,162599.06
Canada,1953,10681.37,57081.69,79658.83,169328.53
Canada,1954,10378.45,57417.92,81016.08,173523.85
Canada,1955,10998.42,59917.58,84225.1,176428.86
Canada,1956,11806.04,62372.23,86506.04,181295.63
Canada,1957,11894.29,64093.64,87895.79,181156.9
Canada,1958,11920.28,66328.27,90863.23,185036.89
Canada,1959,12162.74,67437.82,91478.01,185716.06
Canada,1960,12406.08,69429.45,93975.46,189202.45
Canada,1961,12531.12,71898.52,96886.38,192279.68
